seq,district_group,district,project_name,available_units,area_seg,price_seg,finish_type,delivery_time,pros,cons
117,市内六区,南开区,堤翠家园,＞50套,高层88㎡、91㎡、108㎡、112㎡、129㎡、229㎡,"88平米270万起
91平米268万起
108平米350万起
112平米347万起
129平米376万起
229平米713万起",毛坯,现房,价格便宜，现房,还迁房品质，户型一般
118,市内六区,南开区,保盈家园,10-50套,洋房91㎡、123㎡,"91平米的300万起
123平米的453万起",毛坯,现房,价格便宜，现房,还迁房品质，户型一般
119,环城四区,西青区,彩虹城,＞50套,高层：68-87㎡,55-70万,毛坯,现房,现房，便宜,多年老盘，户型差，流通性问题
121,环城四区,西青区,龙湖首创天琅,＜10套,高层：85平米 113平米 139平米,待售，未开盘,毛坯,2026.6.30,中北龙湖二期，价格相对合适,北侧高铁噪音，小区南侧正荣的大高层，采光问题
122,环城四区,东丽区,复地湖滨广场,10-50套,30-7000平,120-4900万,毛坯,现房,大平层，户型少,项目卖了很长时间
127,滨海新区,大港区,心港东城名都,10-50套,洋房：94㎡/128㎡ 高层：72㎡-149㎡,洋房：124-172万 高层：82-193万,毛坯,现房,现房，刚改,偏，一般本地人都很少去，油田本地职工为主
128,市内六区,河东区,格调步庭,＞50套,高层92/109/128小高层 124/139,"高层92：249-284万
高层109：300-335万
高层128：350-400万
小高层124：400万左右
小高层139：430万左右",毛坯,现房,园林户型好,四栋楼，整体看园林并不多，外包物业，设计偏老
130,环城四区,西青区,香锦园,10-50套,76平米/90平米/120平米/135平米/136平米,"76平 ：104万起
90平: 123万起
120平:158万
135平:156万
136平:156万",简装,现房,现房可选,价格高，张家窝本地楼盘，没绿化，地铁远
131,市内六区,南开区,中海镜映南开,＞50套,洋房107/115/125,"107平10层洋房:580-600只有顶楼
115平8层洋房:620-700
125平8层洋房:770-840",毛坯,2025-10-01 00:00:00,户型好，品质不错，位置相对核心,可选性不高，老医院地块，价格不是所有户型都合适
132,市内六区,河西区,体北金茂府,＞50套,"小高128m²143m²169m²189m²，
高层143m² 169m² 
洋房236m²","小高128㎡/650-710万
小高/高层143㎡/720-810万
小高/高层169㎡/850-980万
小高189㎡/1100-1200万
洋房236㎡/1600-2000万",精装,2026-06-01 00:00:00,品质 物业 产品都很不错，科技化住宅,周边老破小，小区内部改善，外部没有改善
133,环城四区,东丽区,三源英华郡,＞50套,高层：92/94㎡，洋房：92㎡，别墅：233/290/309㎡,"高层92平米(边）：49-55万；高层94平米（中）：43-52万；洋房92平米：55-62万；
别墅233平米（联排）：233-320万；别墅290平米（双拼）：400-430万；别墅309平米（双拼）：490-520万",毛坯,现房,便宜，环境还可以，东丽湖,在东丽湖里属于偏远位置。配套一般，远，修仙可以考虑。
134,远郊五区,宝坻区,诺金兰亭园,＞50套,洋房103、116㎡,洋房103㎡  105-127万                            洋房116㎡：119-142万,毛坯,2026.8.30,大户型为主，地缘性,位置偏，配套差远郊，价格不稳 
135,市内六区,南开区,鹏飞·南开学苑,＞50套,"高层:78/85/98/99m²
洋房：111m²/126m²","高层78平米:320万左右
高层85平米:345-380万左右
高层98/99平米:390-440万左右
洋房111平米:560-610万左右
洋房126平米:660-830万左右",毛坯,A地块：2025年6月底 B地块：2025年年底,能转学，户型多，地铁近，有学校,价格贵，学校之前是汾水道小学，鹏飞在天津无交付社区
136,市内六区,河西区,中海时光之镜,＞50套,小高 106 113 130 143 185 237㎡,"全部小高层：106平420-440万
130平550-610万
143平620-700万
185平850-900万
237平1100-1250万",精装,2025-03-01 00:00:00,品质不错，产品力强,新梅江一部分纯改善不认可，价格掉的有点多
137,环城四区,东丽区,天保意境芳华,＞50套,小高：89/95/110/125 洋房：125/145/ 165 叠拼：146/167,小高：160-280万 洋房：280-410万 叠拼：345-496万,毛坯,2025/12/1底,产品力不错，准现房，空港一期，可选,挨着高速路有噪音，天保之前某项目交付水平一般般 口碑下降
139,市内六区,南开区,中海峰境南开,10-50套,小高层143㎡，洋房120/175㎡,"高层105平490-580万 高层125平590-680万 小高约143㎡三室780-850万
洋房约120㎡三室750-800万
洋房约175㎡四室1100-1300万",精装,2026-03-01 00:00:00,户型好，品质不错，位置相对核心,可选性低，房源不全，价格不是都合适
140,环城四区,东丽区,想云湾,＞50套,"洋房89㎡ 109㎡ 129㎡ 131㎡ 152㎡ 169㎡ 173㎡
叠拼：134㎡、143㎡","洋房89㎡：145-170万左右
洋房109㎡：195-210万左右
洋房129㎡：250万左右
洋房131㎡：260-275万
洋房169㎡：360万左右
洋房152㎡：315万左右
洋房173㎡：365万左右
叠拼134㎡：340万左右
叠拼143㎡：420万左右",毛坯,"2024年12月底（现房）
2025年3月底
2026年4月底",价格便宜，可选性多，户型好，空港二期,二期啊，25块住宅用地，猴年马月搞完，周期长，一定要习惯生活在这种环境中
141,市内六区,河西区,天津·瑞府,＞50套,高层104/122/140㎡ 小高层128/144/169㎡,"高层：104平360-400万，122平425-450万，140平460-500万
小高层128平480-500万，169平650-800万",精装,一期169户型23.10月，二期所有户型24.10月,河西最南侧，可选性多，现房,产品稍微过时，大高层。学校一般
142,环城四区,东丽区,天保九如品筑,＞50套,洋房： 110 129 133 145 177 212㎡ 叠拼：240 300㎡,"洋房：
110㎡：200-210万左右（只有一楼）
129㎡：235-250万左右
133㎡：250-265万左右
145㎡：285-300万左右
177㎡：375-390万左右
212㎡：515-530万左右
叠拼：
240㎡：550万起
300㎡：810万起",毛坯,现房,现房，产品还可以，二期,可选性低，交付水平一般般。周边慌。
143,环城四区,西青区,保利拾光年,＞50套,小高87、95㎡,87㎡：150-170万 95㎡：180-200万,毛坯,现房,海泰板块，保利品质不错，相对可选,户型过时，产品一般，小高层体量大
144,市内六区,南开区,天保上城观景,＞50套,高层：99/117/107/131/134/137㎡,"99㎡：400万左右
107㎡：420-460万
117㎡：440万-460万
131㎡：540-590万
134㎡：570-600万
137㎡：590-620万",毛坯,现房,价格适中，可选性高，现房优势,天保这两年品质问题，位置一般，产品力一般
145,环城四区,西青区,绿城桂语映月,＞50套,小高85/105/125/130平米，高层85/130平米,"小高85平米：170-185万
小高105平米：240-280万
小高125平米：240-250万
小高130平米：300-320万
高层85平米：150-170万
高层130平米：240-280万",毛坯,2025-12-01 00:00:00,西营门青云桥旁，绿城品质好，可选性高,噪音大，户型差。
146,环城四区,西青区,水西雲庐,＞50套,"洋房119/140㎡/160㎡/180㎡/200/170㎡/220㎡/245㎡/125㎡/145㎡/230㎡/275㎡/310㎡；
小高103㎡；
别墅210㎡/225/230㎡","洋房450—1800万 
小高260-275万
别墅1000—1500万",小高别墅毛坯；洋房部分毛坯部分精装,2023.12/2024.12/2025.5.30,绿城品质好，户型好，水西板块绿化环境好,水西板块内配套不成熟，周期会长一些，可选性不高
147,环城四区,西青区,绿城柳岸晓风,＜10套,洋房跃层：170、230㎡,跃层：170平：280万；230平：460万,精装/跃层毛坯,现房,绿城品质好，户型好，生活成熟,大寺板块相对较乱，价格不太友好，可选性低
148,市内六区,南开区,绿城·鳳起悦鸣,＞50套,小高 150/180平 /215平,"小高 150平 840-960万
小高180平 1150-1250万
小高215平只有下跃两套1760万",精装,2024年10月底,产品好，品质高，服装街地块位置核心,价格高，做不到入则宁静出则繁华，周边人流量很大
149,环城四区,东丽区,上东金茂晓棠,＞50套,晓棠小高：94-114㎡ 晓棠洋房：101-120㎡,"晓棠小高94㎡：192-205万
晓棠小高114㎡：240-245万
晓棠洋房101㎡：248-260万
晓棠洋房120㎡：320-330万",精装,晓棠一期 2026/6 晓棠二期2027/4,产品好，物业好，开发商好，规划好，地铁近,大饼，览秀城还没动呢，真的再造一座城。周边设施完善需要太长时间。
150,环城四区,津南区,中国铁建·花语澜廷,＞50套,毛坯洋房139㎡,"139平260万
只剩二楼顶楼",毛坯,2024-06-30 00:00:00,临近地铁，价格适中,国展大饼，消化不良，价格降了n次
151,环城四区,津南区,融金财富中心,＞50套,高层33-1000㎡,28万～800万,毛坯,现房,现房，便宜,公寓，年限问题，流通性问题
152,环城四区,西青区,绿城桂语朝阳,＞50套,高层：76、89、108、115、126㎡,高层：76㎡:79-85万，89㎡:105-125万，108㎡:140-155万，115㎡:135-155万，126㎡:160-170万,毛坯,一期现房，二期2025年6月,绿城品质好，户型相对还可以，可选性多,大寺边缘位置，周边慌的很，配套差
153,环城四区,西青区,万科翡翠嘉和,10-50套,洋房：119/133㎡,"119㎡：275-300万
133㎡：340万",精装,2025.6月,中北配套成熟，小区现房准现房，绿化好南侧南运河,北侧高铁噪音，小区户型较差，可选性低
154,市内六区,红桥区,中交春风景里,＞50套,高层：77/89/100/112平/126平；,"一期高层：
126平245-255万
二期高层（价差5万）
77平140万；
89平157万；
100平177万；
112平198万；
126平222万",简装,一期现房 二期25年12月底,价格便宜，市区上车门槛，央企开发，绿城物业,户型一般，设计老，红桥边缘位置，双环屯板块
158,市内六区,河东区,中交春映海河,＞50套,小高:95/120/128/140平,"洋房128平米：460-490万
小高95平米：320-350万
小高120平米：420-440万
小高140平米：530-560万",精装,现房,海河旁边，可选性多,不能直观海河，价格高，周边城市界面一般。
160,远郊五区,静海区,津铁镜界,＞50套,洋房：80/90/108/142；叠拼:上叠132平，下叠售罄,"洋房：80平 100-117万左右，90平127-140万左右，108平133-165万左右，142平185-208万左右
别墅：132平上叠200万左右",毛坯 /精装（住宅80/90平精装）,一期2025年10月底，二期2026年3月底,产品力强，户型好，纯洋房,团泊西相对好一些但是项目处于板块最南侧，周边配套一个养老院剩下啥也没有南侧村里
161,环城四区,北辰区,龙曜城,＞50套,高层：89㎡、110m ²洋房：123㎡、140㎡、176㎡,"高层89平米137-160万；高层110㎡167-190万，
洋房123㎡270-290万,140㎡295-330万，176㎡390-420万",毛坯,2025/12/31/和2026/4/30和2026/6/30,产品力强，龙湖园林一流，物业不错，中环线旁,板块周期长，未来很长时间生活在嘈杂环境中。
162,环城四区,北辰区,绿城锦玉兰,10-50套,洋房106/126/143,106平米:240-255万 126平米：295-310万 143平米:345万-360万,精装,2026-10-01 00:00:00,产品力强，绿城源于江南园林，绿化，服务都很不错。,大户型为主，周边城市界面一般，地缘性改善可看，刚需刚改不太友好。
163,环城四区,北辰区,金隅金成府,＞50套,82m²，99m²，105m²，116m²,小高层：165-260万；洋房：280-300万,精装,现房,现房即买即住，周边天穆镇生活气息浓郁。,可选行不多，一期价格偏高，属于板块边缘位置
164,环城四区,北辰区,金隅金成熙府,＞50套,79m²，89m²，124m²,小高层：120-230万,精装,现房,即买即住，可选性多一些，价格相对合适一些,项目产品力一般，位置板块内较差。
165,环城四区,津南区,通新润府,＞50套,高层：98.115㎡ 小高92.113㎡ 洋房124㎡,高层：71-95万 小高：79-107万 洋房：113-125万,精装修,现房,价格便宜，现房带装修,偏
166,环城四区,东丽区,恒基旭辉都会江来,＞50套,小高：105m³、洋房：98/112/120平米,小高105平米:163万左右 洋房98平米:160万 洋房112平米:195-215万 洋房122平米:240-270万,毛坯,现房,即买即住，可选，价格合适,旭辉已经不行啦，物业得不到原有品质保障，周边慌的很。地铁远
167,市内六区,河西区,平安泰达金融中心-马场道57号,＞50套,"高层86-91㎡1居
高层119-136㎡2居
高层160-190㎡3居","高层86-91㎡1居：180-200万
高层119-136㎡2居:270-350万",精装,2025-06-01 00:00:00,可选性高，超高层,公寓，年限问题，流通性问题
168,环城四区,东丽区,中建玖樾府,＞50套,小高：85平米 洋房：108㎡,"小高：85平米138-160万，
洋房：108平米 200-230万",毛坯,现房,现房即买即住，价格合适，配套全,产品力一般哇，新立板块位置较差的项目，可选性不多
169,环城四区,东丽区,复地林与里,＞50套,洋房120/140平,"洋房120平米：170-190万
洋房140平米：200-220万",毛坯,现房,便宜，空港二期,空港二期里最差位置，周边没有邻居只有自己，要习惯孤独
174,市内六区,河东区,大华清水湾,＞50套,小高层83//103/106 洋房125/141,"小高层83：245-265万
小高层103：270-280万
小高层106：300-320万
洋房125：370-420万
洋房141：400-500万",精装,2025-12-01 00:00:00,户型好，设计不错，万爱板块可选性多,大华在天津的项目套路深，可以等等准现房现房
176,环城四区,北辰区,北科建·水岸华府,＞50套,小高：79、98、100、104平米,小高：79㎡65万，98、100平米78万，104㎡82-84万,毛坯,现房,便宜，地铁旁,位置干哪去了？五号线终点站只有自己一个项目，孤盘
179,市内六区,红桥区,首创禧瑞府,10-50套,别墅168m²,别墅：470-690万,毛坯,现房,现房，别墅产品，市区稀缺,户型拉胯，北侧火车到，西侧旧厂房，南面快速路
180,环城四区,东丽区,远洋潮起东方,＞50套,洋房115㎡   叠拼142㎡,"洋房114㎡ ：190-210万
叠拼142㎡ ：上叠 310万左右
下叠420万左右（叠拼现房）",毛坯,洋房：2026/5/30   叠拼（现房）,产品不错，空港二期,远洋有一段时间资金问题，空港二期周期问题
181,市内六区,河西区,天房海河湾,＞50套,"53㎡
83㎡
90㎡","53㎡:145万-155万
83㎡:245万左右（仅两套5F/6F）
90㎡:255万-275万",毛坯,现房,价格便宜，可选性多，,天房项目，户型一般。
182,滨海新区,大港区,经纬城市绿洲滨海,＞50套,高层三室136/143㎡高层两室90/108㎡,"高层90平：60-80万 
高层108平：88-100万 
高层143平：120-130万 
高层136平：125-145万左右",毛坯,海佳园2025/6/30、海居园2期2025/11/30、海居5期2026/12月底,现房，刚改，可选性多,偏，一般本地人都很少去，油田本地职工为主
183,市内六区,河东区,路劲太阳城壹号著区,＞50套,高层：99/109/115/127,"99㎡：228万起
109㎡：256万起
115㎡：265万起
127㎡：299万起",精装,2026-06-01 00:00:00,配套成熟，人气很足，大型居住板块，刚需上车门槛,设计老，大高层，地势低，土地年限
184,远郊五区,静海区,天津万达自在澜湾,＞50套,二期80/110/124平；三期85/95/112/144,二期80平95万110平136万左右124平145万左右；三期85平92万左右，95平103万左右，112平128万左右144平172万左右,毛坯,二期2024年11月底，三期2026年6月底,产品力强，户型好，纯洋房,静海万达出现过一段时间问题，城投共同开发，后期品质问题
186,市内六区,河北区,中车津浦智汇港,＞50套,高层76/86/87/89/110/122平米,"76㎡   2室    179万-183万【剩余2/3/18/顶】
87㎡    3室    208万-217万【剩余2/顶】
86㎡    3室    217万-226万【楼层可选】
89㎡    3室    210万-225万【楼层可选】
110㎡   3室    270万-276万【楼层可选】
122㎡   3室    323万-346万【楼层可选】",毛坯,工期在25年年底，合同交房时间写26.3月底,产品力不错，可选，户型多,周边铁路 快速噪音问题，隔壁一条街不太理想，空地还很多待开发
187,环城四区,东丽区,天津华侨城,＞50套,别墅206-280,别墅206-214（联排中户）：189万起；别墅250-170（联排边户）：251万起；双拼251-290平米：300万起,毛坯,现房,环境好，东丽湖，现房央企，天天做过山车,玩可以，住着没那么方便，东丽湖，项目卖了n多年
190,环城四区,北辰区,中储城邦,＞50套,高层 90/110/120 洋房 143 叠拼 135/156,高层 110-165 万 洋房 245 万起 叠拼 255-300 万,毛坯,现房,现房，价格便宜,守住快速路，噪音，产品力，人气
191,环城四区,北辰区,远洋未来城,＞50套,高层：83、89、105㎡小高层：115、118㎡洋房：125、143㎡,"高层：82m²115-130万
89m²135-150万
105m²155-170万
小高层：115m²185-200万
118m²195-220万
洋房：125m²210-300万
142m²240-360万",毛坯/洋房精装/洋房毛坯,"一标段2025年12月
二标段2026年12月",可选性多，周边配套逐步完善，双轨道交通,开发商有一段时间资金出现问题，本地还迁房问题，交付品质问题。
193,市内六区,河北区,和融广场悦湾公馆,＞50套,公寓66/86/92/120平米,"公寓一室61/64/66平米：130-150万
公寓两室86/89平米：190-230万
公寓三室120平米：330万起",精装,现房,现房，便宜,公寓，年限问题，流通性问题
194,环城四区,北辰区,万科运河文化村,＞50套,"高层：86/89/99/101平
洋房：105／120平米","高层：
86平米62-77万
89平米68-86万
99平米77-96万
101平米84-93万
洋房：
105平米110-135万
120平米140-150万",精装/简装,"四期25年12月底
五期26年9月底",便宜，万科物业园林不错,偏到了村里，村中盘，盘中村
195,环城四区,北辰区,新城悦隽风华·悦城,＞50套,小高82平，洋房96平,82平米59-75万；96平米75-85万,毛坯,现房,现房，便宜,同样到了村里面
196,环城四区,东丽区,远洋寛阅时光,＞50套,洋房98/110/120㎡,"洋房98㎡：166万左右
洋房110㎡：190-220万
洋房120㎡：227-240万",精装/毛坯,现房,即买即住，价格合适,远洋有一段时间资金问题，李明庄还迁房多，周边慌
198,市内六区,河西区,天房六合国际,＞50套,小高96/100,96:330-370    100：350-390,毛坯,现房,价格便宜，现房,户型过时，产品一般
199,远郊五区,静海区,天津锦绣学府,10-50套,高层:71.84㎡/80.18㎡,58-73万,毛坯,2025年4月底,便宜,荣盛本身资金问题，西侧大片空地，小区内部品质问题
201,环城四区,东丽区,松江东湖嘉庭,10-50套,高层：78/93,40-58万,毛坯,现房,即买即住，价格合适,东丽湖偏，小区进过抵押，产品力拉胯
203,市内六区,河西区,体北鲁能公馆,＞50套,"高层：81,101,107,117㎡
小高层:136㎡ 
洋房:161-166㎡","高层:81平米:388-410万
101平米:490-510万
107平米:550-570万
117平米:590-610万
小高:136平米:750-820万
洋房:166/161平米:1000-1200万",精装,2023年7月31日，2023年9月30日,可选，体北板块，地缘性为主,产品过时，周边一般
204,环城四区,东丽区,绿城桂月云翠,＞50套,洋房79/89/107/130/143,"79㎡：158-178万
89㎡：178-208万
107㎡：228-258万
130㎡：278-308万
143㎡： 338-368万",毛坯,预计2026年9月30,产品好，物业好，开发商好,空港一期中位置稍差，交付时间稍晚
205,环城四区,津南区,鲁能泰山7号,10-50套,联排215平，商铺60-1200平,联排550万起，商铺120万起,毛坯,现房,商铺和部分别墅,可选性很小
207,远郊五区,宝坻区,珺悦峰,＞50套,高层79、88、97、95、112小高95、97（1楼）,高层79㎡：55-65万；  高层88㎡：65-72万；高层97㎡:75-78万  高层95㎡：80-86万  高层112㎡：90-103万； 小高95、97㎡：86万左右；,毛坯,现房,户型多，价格便宜,位置偏，配套差远郊，价格不稳 
208,远郊五区,宝坻区,玺悦峰,10-50套,高层92、124㎡；小高135㎡,"高层92㎡：94-103万
高层124㎡：133-140万
小高层135㎡：145万左右",毛坯,现房,现房，房源不多,位置偏，配套差远郊，价格不稳 
209,远郊五区,宝坻区,中交香颂,＞50套,高层：90、101平洋房93、123、143,高层：65-150万,毛坯,现房,央企背景，户型不错，价格合适现房,位置偏，配套差远郊，价格不稳 
213,远郊五区,宝坻区,弘业云邸,10-50套,126-211平米,"126平米：（145万-150万
142平米：（155万-168万）
149平米：（190万-195万）
164平米：（220万-240万）
211 平米：（310万-320万）",毛坡,2026-10-01 00:00:00,大户型偏改善，地缘性,位置偏，配套差远郊，价格不稳 
214,市内六区,河东区,津铁格调罗宁花园,＞50套,小高89/102㎡  洋房107/127㎡,"小高89㎡：250-270万
小高102㎡：290-320万
洋房107㎡:360-390万
洋房127㎡：430-470万",毛坯,2027-05-30 00:00:00,园林品质好，可选性多,大期房，位置王串场，价格高。
215,环城四区,东丽区,城投时代之城,＞50套,"2#、3#4#小高89中户、104边户；
6#16#中户84平、边户89平；
10#11#洋房118平；
15#洋房139平；
1#7#13#14#售罄","2#、3#4#小高89中户140-160万、
边户104平178-200
6#16#小高中户84平137-155万、
边户89平150-170万
10#11#洋房118平240-260万；
8#、15#洋房139平285-324万",毛坯（团装项目）,2025-10-01 00:00:00,户型多，可选，位置不错,赵沽里板块周期长，项目还处于一期 后面还有五块地待开发，主干路交汇处
216,环城四区,东丽区,中建玖棠府,＞50套,95-115-125㎡,"95㎡：68-85万
115㎡：78-100万
125㎡：100-115万",毛坯,现房,东丽湖环境不错，价格便宜，可选,产品力一般，对于其他板块内项目稍贵，配套问题
217,环城四区,东丽区,中交雅郡·城东春晓,＞50套,"小高层：75/82/85/87/89/95
洋房：95/100/106/110//118/125","小高层：
75㎡：92万-110万
82㎡：106万-112万
85㎡：113万-120万
87㎡：116万-117万
89㎡：121万-130万
95㎡：135万-145万
洋房：
95㎡：140万
100㎡：150万－160万
106㎡：160万－260万 
110㎡：165万－170万 
118㎡：182万—205万
125㎡：240万－255万",二/三期简装/四期毛坯,二期现房，三期现房，四期2025/10/31,金钟街板块，价格合适，可选性多，一共四期，地铁上盖，人气足,有个庙在小区隔壁，隔壁五金城
218,环城四区,东丽区,中国铁建·花语尚东,＞50套,"一期洋房：113，125；二期小高：84/105，洋房：93/110/125/142
三期小高：75/84/86/99","小高层：
74㎡：90万-96万
84㎡：99万-145万
86㎡：107万-115万
99㎡：120万-130万
105㎡：135万
洋房：
93㎡：145万
110㎡：180万－230万
125㎡：235万－265万 
143㎡：280万－310万",毛坯,一期现房，二期：2024年12月底，三期：2025年底,产品力不错，可选，央企开发自持物业,价格板块内稍高，刚需合适，改善谨慎
